PU1_peak	Chromosome	Start	End	Type	Alleles	REF_gkmsvm	ALT_gkmsvm	RSID	Pos	beta	p
PU1_547	chr1	22345587	22345786	SNP	C_T	0.471012	-0.0820188	rs2501299	22345647	-0.993501	1.73E-11
PU1_740	chr1	26869464	26869663	SNP	G_A	3.5197	2.41975	rs921893	26869610	-0.550364	1.58E-07
PU1_1495	chr1	46522996	46523195	SNP	T_C	4.95411	2.16905	rs785464	46523089	-0.968011	5.13E-11
PU1_7958	chr2	30446499	30446698	SNP	G_A	2.09869	0.308011	rs10165678	30446568	-0.737264	1.46E-06
PU1_9854	chr2	98528589	98528788	SNP	G_A	1.95938	-0.375158	rs11688829	98528689	-1.18269	6.00E-10
PU1_10160	chr2	109068924	109069123	SNP	T_C	1.80089	-0.282287	rs2683797	109069008	-1.01863	4.19E-13
PU1_11707	chr2	169964227	169964426	SNP	T_C	-0.54584	2.6092	rs736020	169964332	0.981004	6.32E-11
PU1_12096	chr2	182035090	182035289	SNP	T_A	1.54951	0.158563	rs4667114	182035192	-0.955105	2.18E-08
PU1_15596	chr3	47322393	47322592	SNP	C_T	4.21102	0.938607	rs807936	47322496	-1.22268	6.16E-13
PU1_19068	chr3	171780654	171780853	SNP	A_G	3.60584	1.95937	rs4894796	171780763	-0.985887	1.81E-11
PU1_19400	chr3	182623921	182624120	SNP	T_C	1.9563	5.62601	rs6443834	182624011	1.11474	1.64E-13
PU1_21300	chr4	57523751	57523950	SNP	T_C	0.540778	4.09358	rs7693834	57523869	0.913248	5.36E-08
PU1_21900	chr4	83840810	83841009	SNP	G_A	-0.404629	5.94426	rs1047564	83840906	1.07441	1.83E-10
PU1_22046	chr4	87972125	87972324	SNP	G_C	3.45461	1.87548	rs3775230	87972209	-1.17342	1.85E-11
PU1_26093	chr5	72252385	72252584	SNP	A_G	2.98542	0.54276	rs7713398	72252475	-0.720211	4.26E-07
PU1_27777	chr5	124341152	124341351	SNP	T_A	2.58202	6.72009	rs12517864	124341259	1.43989	2.32E-12
PU1_29300	chr5	176718265	176718464	SNP	A_G	0.53887	3.23272	rs6886255	176718361	1.18854	3.60E-11
