chrom_atac	start_atac	end_atac	peak_atac	start_pu1	end_pu1	peak_pu1	variant_type	alleles	ref_gkmsvm	alt_gkmsvm	ID	variant_pos	beta_pu1	se_pu1	p_pu1	overlap	beta_atac	se_atac	p_atac	significant
chr1	22345457	22345965	ATAC_958	22345586	22345786	PU1_547	SNP	C_T	0.471012	-0.0820188	rs2501299	22345647	-0.993501	0.147684936	1.73E-11	200	-1.18556	0.093138458	4.08E-37	O
chr1	26867854	26870635	ATAC_1267	26869463	26869663	PU1_740	SNP	G_A	3.5197	2.41975	rs921893	26869610	-0.550364	0.104971514	1.58E-07	200	0.163293	0.059801605	0.00632232	X
chr2	30446188	30448514	ATAC_15248	30446498	30446698	PU1_7958	SNP	G_A	2.09869	0.308011	rs10165678	30446568	-0.737264	0.153066223	1.46E-06	200	-0.152738	0.105556524	0.147903	X
chr2	109068979	109069095	ATAC_19211	109068923	109069123	PU1_10160	SNP	T_C	1.80089	-0.282287	rs2683797	109069008	-1.01863	0.140514689	4.19E-13	116	-1.12765	0.106343581	2.86E-26	O
chr2	169964183	169964747	ATAC_22910	169964226	169964426	PU1_11707	SNP	T_C	-0.54584	2.6092	rs736020	169964332	0.981004	0.150093177	6.32E-11	200	0.889251	0.102428566	3.90E-18	O
chr2	182034990	182035241	ATAC_23612	182035089	182035289	PU1_12096	SNP	T_A	1.54951	0.158563	rs4667114	182035192	-0.955105	0.170643633	2.18E-08	152	-1.00078	0.114684699	2.63E-18	O
chr3	171780670	171780799	ATAC_38800	171780653	171780853	PU1_19068	SNP	A_G	3.60584	1.95937	rs4894796	171780763	-0.985887	0.146696668	1.81E-11	129	-1.26507	0.122771409	6.74E-25	O
chr3	182623649	182624095	ATAC_39627	182623920	182624120	PU1_19400	SNP	T_C	1.9563	5.62601	rs6443834	182624011	1.11474	0.151145448	1.64E-13	175	1.17057	0.117177055	1.69E-23	O
chr4	69458500	69458832	ATAC_43828	69458472	69458672	PU1_21445	SV	Deletion	NA	NA	esv3600874	69375591-69491543	-1.04443	0.128469338	4.30E-16	171	-0.98598	0.092843295	2.41E-26	O
chr5	72251070	72252670	ATAC_55331	72252384	72252584	PU1_26093	SNP	A_G	2.98542	0.54276	rs7713398	72252475	-0.720211	0.142419848	4.26E-07	200	-0.0312476	0.070333745	0.656843	X
chr5	124341024	124341273	ATAC_59004	124341151	124341351	PU1_27777	SNP	T_A	2.58202	6.72009	rs12517864	124341259	1.43989	0.205295069	2.32E-12	122	1.29384	0.126801948	1.91E-24	O
chr5	176717990	176718427	ATAC_62743	176718264	176718464	PU1_29300	SNP	A_G	0.53887	3.23272	rs6886255	176718361	1.18854	0.179546697	3.60E-11	163	1.11065	0.12127464	5.28E-20	O
chr6	41888391	41889782	ATAC_65644	41888742	41888942	PU1_30991	SNP	C_G	1.17435	1.61709	rs2274578	41888827	0.700327	0.135880521	2.55E-07	200	0.317791	0.070120022	5.84E-06	O
chr6	53495616	53496044	ATAC_66392	53495681	53495881	PU1_31371	SNP	T_C	3.76514	-0.12531	rs66468133	53495780	-1.07691	0.165813708	8.32E-11	200	-0.703942	0.128530797	4.33E-08	X
chr7	73506613	73509506	ATAC_78063	73509231	73509431	PU1_36328	SNP	G_C	4.2467	2.46525	rs2237503	73509326	-0.702506	0.111502932	2.97E-10	200	-0.183104	0.074180845	0.0135739	X
chr7	138730051	138730165	ATAC_82668	138729954	138730154	PU1_38240	SNP	T_C	0.701225	1.23692	rs1044551	138730025	0.844022	0.159972408	1.32E-07	103	0.859016	0.108047703	1.86E-15	O
chr8	6698086	6698993	ATAC_84060	6698300	6698500	PU1_38773	SNP	T_A	0.597916	3.72229	rs4840639	6698413	1.0597	0.147133308	5.92E-13	200	0.823247	0.109089441	4.47E-14	O
chr8	61471551	61472038	ATAC_86686	61471736	61471936	PU1_40113	SNP	T_C	0.514235	2.17521	rs2056415	61471839	1.02349	0.164976716	5.51E-10	200	0.899233	0.077730061	5.94E-31	O
chr8	72752550	72753703	ATAC_87487	72752882	72753082	PU1_40496	SNP	G_A	4.54868	0.513715	rs13258255	72752978	-1.25879	0.200939904	3.74E-10	200	-0.893329	0.133284604	2.05E-11	O
chr8	79577013	79579447	ATAC_87956	79577619	79577819	PU1_40678	SNP	A_C	2.06275	4.90283	rs3808619	79577726	1.06068	0.157164065	1.49E-11	200	0.715718	0.068720523	2.12E-25	O
chr8	144635286	144636349	ATAC_92271	144635748	144635948	PU1_42503	SV	Deletion	NA	NA	esv3619112	144634055-144636240	-0.903207	0.165971157	5.27E-08	200	-1.31823	0.099217263	2.78E-40	O
chr10	5894034	5895207	ATAC_98683	5894397	5894597	PU1_45890	SNP	A_G	4.62941	1.98372	rs10905307	5894500	-1.0416	0.118203275	1.23E-18	200	-1.11939	0.086766181	4.43E-38	O
chr10	81044423	81047118	ATAC_102618	81045158	81045358	PU1_47892	SNP	T_C	-0.108435	1.96654	rs1250568	81045280	0.68624	0.137076591	5.55E-07	200	0.242952	0.069555707	0.000477783	X
chr11	55425225	55426752	ATAC_108282	55425548	55425748	PU1_50780	SV	Deletion	NA	NA	esv3626445	55368372-55426969	-1.01435	0.146894569	5.01E-12	200	-1.02893	0.117933641	2.67E-18	O
chr11	85852563	85853018	ATAC_110113	85852878	85853078	PU1_51842	SNP	G_A	1.559	2.65796	rs10792831	85852979	0.914813	0.137426927	2.80E-11	140	1.03381	0.110375168	7.51E-21	O
chr12	28014755	28015419	ATAC_114324	28014702	28014902	PU1_54305	indel	C_CA	1.51149	2.42568	rs56794031	28014790	1.03363	0.169884734	1.17E-09	147	1.0865	0.092902015	1.35E-31	O
chr12	89744541	89749324	ATAC_117951	89748459	89748659	PU1_56004	indel	AGGG_A	-0.327256	2.58144	rs35928531	89748583	0.802657	0.110956304	4.69E-13	200	0.136128	0.062649244	0.0297909	X
chr15	75076876	75083273	ATAC_132097	75082448	75082648	PU1_64115	SNP	C_G	4.08	2.72491	rs3784789	75082552	-0.628743	0.103315208	1.16E-09	200	-0.191706	0.053211113	0.000314876	O
chr15	85904350	85905018	ATAC_132647	85904944	85905144	PU1_64488	SNP	G_A	2.707	1.53764	rs8040940	85905048	-0.860053	0.153132989	1.95E-08	74	-0.127308	0.108399396	0.240221	X
chr16	30482238	30483309	ATAC_134966	30482439	30482639	PU1_65692	SNP	T_G	0.158157	0.594165	rs12598978	30482540	0.782011	0.12997324	1.78E-09	200	0.207005	0.052640806	8.41E-05	O
chr16	68317307	68319530	ATAC_136053	68317408	68317608	PU1_66245	indel	A_AATGAAAAAGG	0.15704	5.80994	rs56157684	68317494	1.18469	0.155453677	2.52E-14	200	0.0203931	0.064228572	0.750858	X
chr17	16171154	16171917	ATAC_137925	16171567	16171767	PU1_67321	indel	CTT_C	5.7792	3.4521	rs74267027	16171687	-0.8381416	0.147049449	1.20E-08	200	-0.9974773	0.091403398	1.00E-27	O
chr19	3687778	3688657	ATAC_145486	3688427	3688627	PU1_71414	SNP	C_T	-0.0822162	2.80381	rs75760304	3688524	1.56239	0.227971983	7.21E-12	200	1.32462	0.17509953	3.88E-14	O
chr19	18512469	18512868	ATAC_146492	18512749	18512949	PU1_71930	indel	TAGAAAAAAA_T	0.27542	-0.497168	rs5827412	18512817	-0.80999	0.124182117	6.91E-11	119	-0.849964	0.095981342	8.33E-19	O
chr19	59000007	59001186	ATAC_148257	59000198	59000398	PU1_72860	SNP	A_G	1.02875	2.79946	rs4801273	59000273	1.03746	0.142165031	2.93E-13	200	0.593331	0.06459316	4.09E-20	O
chr21	19155838	19158090	ATAC_151516	19157233	19157433	PU1_74804	SNP	C_A	1.6834	-0.248196	rs9974456	19157380	-0.861649	0.157678862	4.64E-08	200	-0.419215	0.097165317	1.60E-05	O
chr22	39377885	39378665	ATAC_153707	39378299	39378499	PU1_76237	SV	Deletion	NA	NA	esv3647746	39357694-39388574	-1.48878	0.237684608	3.76E-10	200	-1.32299	0.134604697	8.47E-23	O
