rsid	chrom	start	end	peak	variant_type	alleles	ref_gkmsvm	alt_gkmsvm	variant_pos	beta_pu1	se_pu1	p_pu1	beta_as	se_as	p_as
rs10165678	chr2	30446498	30446698	PU1_7958	SNP	G_A	2.09869	0.308011	30446568	-0.737264	0.153066223	1.46E-06	-0.819467415	2.64E-01	8.35E-03
rs10231696	chr7	37456434	37456634	PU1_35737	SNP	G_A	2.37047	4.08075	37456550	1.23968	0.166966072	1.13E-13	3.070896078	0.341856304	7.28E-08
rs1044551	chr7	138729954	138730154	PU1_38240	SNP	T_C	0.701225	1.23692	138730025	0.844022	0.159972408	1.32E-07	0.965945446	2.20E-01	2.00E-04
rs1047564	chr4	83840809	83841009	PU1_21900	SNP	G_A	-0.404629	5.94426	83840906	1.07441	0.168535722	1.83E-10	1.541371485	0.24567098	1.03E-06
rs10792831	chr11	85852878	85853078	PU1_51842	SNP	G_A	1.559	2.65796	85852979	0.914813	0.137426927	2.80E-11	1.468864788	2.82E-01	2.43E-05
rs10893845	chr11	128186784	128186984	PU1_53081	SNP	T_G	3.58108	-0.0537266	128186882	-0.964361	0.133870224	5.86E-13	-2.188290757	2.49E-01	8.08E-09
rs10905307	chr10	5894397	5894597	PU1_45890	SNP	A_G	4.62941	1.98372	5894500	-1.0416	0.118203275	1.23E-18	-3.292647309	1.26E-01	3.84E-19
rs11169339	chr12	50651410	50651610	PU1_54925	SNP	T_A	-0.372216	0.867053	50651456	0.981615	0.168353263	5.52E-09	1.470477223	2.49E-01	8.87E-06
rs11688829	chr2	98528588	98528788	PU1_9854	SNP	G_A	1.95938	-0.375158	98528689	-1.18269	0.191051324	6.00E-10	-2.389904289	2.28E-01	5.03E-10
rs1250568	chr10	81045158	81045358	PU1_47892	SNP	T_C	-0.108435	1.96654	81045280	0.68624	0.137076591	5.55E-07	1.209832213	1.26E-01	2.20E-10
rs12517864	chr5	124341151	124341351	PU1_27777	SNP	T_A	2.58202	6.72009	124341259	1.43989	0.205295069	2.32E-12	3.957131095	2.29E-01	7.83E-11
rs12598978	chr16	30482439	30482639	PU1_65692	SNP	T_G	0.158157	0.594165	30482540	0.782011	0.12997324	1.78E-09	0.967731767	2.66E-01	1.77E-03
rs13238842	chr7	64429710	64429910	PU1_36187	SNP	T_C	6.37472	2.53437	64429823	-0.962875	0.147403848	6.48E-11	-0.876071701	2.51E-01	1.73E-03
rs13258255	chr8	72752882	72753082	PU1_40496	SNP	G_A	4.54868	0.513715	72752978	-1.25879	0.200939904	3.74E-10	-2.365023427	0.410470145	9.00E-05
rs1476098	chr17	59236901	59237101	PU1_68631	SNP	A_C	-0.528826	2.65381	59237013	1.03166	0.181763018	1.38E-08	3.141487191	0.274113171	3.62E-08
rs2056415	chr8	61471736	61471936	PU1_40113	SNP	T_C	0.514235	2.17521	61471839	1.02349	0.164976716	5.51E-10	2.635089613	0.13467972	1.78E-17
rs2237503	chr7	73509231	73509431	PU1_36328	SNP	G_C	4.2467	2.46525	73509326	-0.702506	0.111502932	2.97E-10	-1.776784878	2.66E-01	3.44E-05
rs2274578	chr6	41888742	41888942	PU1_30991	SNP	C_G	1.17435	1.61709	41888827	0.700327	0.135880521	2.55E-07	1.201584792	0.192795908	3.50E-06
rs2501299	chr1	22345586	22345786	PU1_547	SNP	C_T	0.471012	-0.0820188	22345647	-0.993501	0.147684936	1.73E-11	-1.524150731	2.69E-01	9.12E-06
rs2683797	chr2	109068923	109069123	PU1_10160	SNP	T_C	1.80089	-0.282287	109069008	-1.01863	0.140514689	4.19E-13	-2.301527943	2.05E-01	1.36E-10
