chrom_histone	start_histone	end_histone	peak_histone	start_pu1	end_pu1	peak_pu1	variant_type	alleles	ref_gkmsvm	alt_gkmsvm	ID	variant_pos	beta_pu1	se_pu1	p_pu1	overlap	beta_histone	se_histone	p_histone	significant
chr1	22345024	22346571	H3K27ac_1_22345024_22346571	22345586	22345786	PU1_547	SNP	C_T	0.471012	-0.0820188	rs2501299	22345647	-0.993501	1.48E-01	1.73E-11	2.00E+02	-1.03272	0.077359307	1.19E-40	O
chr1	26865626	26874251	H3K27ac_1_26865626_26874251	26869463	26869663	PU1_740	SNP	G_A	3.5197	2.41975	rs921893	26869610	-0.550364	0.104971514	1.58E-07	2.00E+02	0.00421769	0.041208566	0.918479	X
chr2	30445659	30450463	H3K27ac_2_30445659_30450463	30446498	30446698	PU1_7958	SNP	G_A	2.09869	0.308011	rs10165678	30446568	-0.737264	0.153066223	1.46E-06	2.00E+02	-0.378928	0.089422067	2.26E-05	O
chr2	98522981	98533339	H3K27ac_2_98522981_98533339	98528588	98528788	PU1_9854	SNP	G_A	1.95938	-0.375158	rs11688829	98528689	-1.18269	1.91E-01	6.00E-10	2.00E+02	0.11601	0.042358382	0.00616689	X
chr2	109068329	109069893	H3K27ac_2_109068329_109069893	109068923	109069123	PU1_10160	SNP	T_C	1.80089	-0.282287	rs2683797	109069008	-1.01863	1.41E-01	4.19E-13	2.00E+02	-1.01694	0.067458061	2.36E-51	O
chr2	169963581	169964271	H3K27ac_2_169963581_169964271	169964226	169964426	PU1_11707	SNP	T_C	-0.54584	2.6092	rs736020	169964332	0.981004	1.50E-01	6.32E-11	4.50E+01	0.36019	0.071175745	4.18E-07	O
chr2	182033667	182036281	H3K27ac_2_182033667_182036281	182035089	182035289	PU1_12096	SNP	T_A	1.54951	0.158563	rs4667114	182035192	-0.955105	1.71E-01	2.18E-08	2.00E+02	-0.623254	0.071559585	3.05E-18	O
chr3	171777641	171785984	H3K27ac_3_171777641_171785984	171780653	171780853	PU1_19068	SNP	A_G	3.60584	1.95937	rs4894796	171780763	-0.985887	1.47E-01	1.81E-11	2.00E+02	-0.454472	0.041614569	9.15E-28	O
chr3	182623024	182624457	H3K27ac_3_182623024_182624457	182623920	182624120	PU1_19400	SNP	T_C	1.9563	5.62601	rs6443834	182624011	1.11474	1.51E-01	1.64E-13	2.00E+02	1.07455	0.091524913	7.90E-32	O
chr4	87971105	87972806	H3K27ac_4_87971105_87972806	87972124	87972324	PU1_22046	SNP	G_C	3.45461	1.87548	rs3775230	87972209	-1.17342	0.174683747	1.85E-11	2.00E+02	-0.442886	0.090272317	9.29E-07	O
chr5	124339830	124348198	H3K27ac_5_124339830_124348198	124341151	124341351	PU1_27777	SNP	T_A	2.58202	6.72009	rs12517864	124341259	1.43989	2.05E-01	2.32E-12	2.00E+02	0.615569	0.067641077	8.99E-20	O
chr5	176717021	176719079	H3K27ac_5_176717021_176719079	176718264	176718464	PU1_29300	SNP	A_G	0.53887	3.23272	rs6886255	176718361	1.18854	1.80E-01	3.60E-11	2.00E+02	0.942984	0.084484125	6.28E-29	O
chr6	41887734	41890700	H3K27ac_6_41887734_41890700	41888742	41888942	PU1_30991	SNP	C_G	1.17435	1.61709	rs2274578	41888827	0.700327	1.36E-01	2.55E-07	2.00E+02	0.119039	0.027452694	1.45E-05	O
chr6	167531204	167545263	H3K27ac_6_167531204_167545263	167537690	167537890	PU1_34572	indel	G_GGA	3.22035	0.957119	rs10683579	167537753	-1.05264	1.46E-01	5.34E-13	2.00E+02	-0.0276035	0.042363528	0.514668	X
chr7	73506367	73510239	H3K27ac_7_73506367_73510239	73509231	73509431	PU1_36328	SNP	G_C	4.2467	2.46525	rs2237503	73509326	-0.702506	0.111502932	2.97E-10	2.00E+02	-0.0687207	0.048941234	0.160275	X
chr7	138728211	138730562	H3K27ac_7_138728211_138730562	138729954	138730154	PU1_38240	SNP	T_C	0.701225	1.23692	rs1044551	138730025	0.844022	1.60E-01	1.32E-07	2.00E+02	0.218294	0.056265577	0.000104582	O
chr8	61468652	61473751	H3K27ac_8_61468652_61473751	61471736	61471936	PU1_40113	SNP	T_C	0.514235	2.17521	rs2056415	61471839	1.02349	1.65E-01	5.51E-10	2.00E+02	0.626678	0.062791822	1.86E-23	O
chr8	72748042	72766521	H3K27ac_8_72748042_72766521	72752882	72753082	PU1_40496	SNP	G_A	4.54868	0.513715	rs13258255	72752978	-1.25879	2.01E-01	3.74E-10	2.00E+02	0.010387	0.080327636	0.897114	X
chr8	79576467	79579592	H3K27ac_8_79576467_79579592	79577619	79577819	PU1_40678	SNP	A_C	2.06275	4.90283	rs3808619	79577726	1.06068	1.57E-01	1.49E-11	2.00E+02	0.964604	0.066285484	5.65E-48	O
chr8	144635171	144636510	H3K27ac_8_144635171_144636510	144635748	144635948	PU1_42503	SV	Deletion	NA	NA	esv3619112	144634055-144636240	-0.903207	1.66E-01	5.27E-08	2.00E+02	-0.916101	0.069890995	2.98E-39	O
chr10	5893600	5895573	H3K27ac_10_5893600_5895573	5894397	5894597	PU1_45890	SNP	A_G	4.62941	1.98372	rs10905307	5894500	-1.0416	1.18E-01	1.23E-18	2.00E+02	-0.775109	0.061230781	1.00E-36	O
chr10	81042293	81047839	H3K27ac_10_81042293_81047839	81045158	81045358	PU1_47892	SNP	T_C	-0.108435	1.96654	rs1250568	81045280	0.68624	1.37E-01	5.55E-07	2.00E+02	0.306688	0.045131597	1.08E-11	O
chr11	55424273	55428575	H3K27ac_11_55424273_55428575	55425548	55425748	PU1_50780	SV	Deletion	NA	NA	esv3626445	55368372-55426969	-1.01435	0.146894569	5.01E-12	2.00E+02	-0.811594	0.072773863	6.98E-29	O
chr11	85852055	85858466	H3K27ac_11_85852055_85858466	85852878	85853078	PU1_51842	SNP	G_A	1.559	2.65796	rs10792831	85852979	0.914813	1.37E-01	2.80E-11	2.00E+02	0.0552734	0.031285354	0.0772701	X
chr11	128186164	128190273	H3K27ac_11_128186164_128190273	128186784	128186984	PU1_53081	SNP	T_G	3.58108	-0.0537266	rs10893845	128186882	-0.964361	1.34E-01	5.86E-13	2.00E+02	-0.125123	0.0405644	0.00203859	O
chr12	28012558	28017639	H3K27ac_12_28012558_28017639	28014702	28014902	PU1_54305	indel	C_CA	1.51149	2.42568	rs56794031	28014790	1.03363	1.70E-01	1.17E-09	2.00E+02	0.671805	0.061016244	3.41E-28	O
chr12	50650973	50652041	H3K27ac_12_50650973_50652041	50651410	50651610	PU1_54925	SNP	T_A	-0.372216	0.867053	rs11169339	50651456	0.981615	0.168353263	5.52E-09	2.00E+02	0.945083	0.080352738	6.15E-32	O
chr12	89746536	89748964	H3K27ac_12_89746536_89748964	89748459	89748659	PU1_56004	indel	AGGG_A	-0.327256	2.58144	rs35928531	89748583	0.802657	0.110956304	4.69E-13	2.00E+02	0.0511117	0.067679092	0.450125	X
