phenotype_id	chrom	start	end	peak	pos	variant_id	tss_distance	p_eqtl	beta_eqtl	se_eqtl	p_pu1	beta_pu1	se_pu1
HOPX	chr4	57523750	57523950	PU1_21300	57523869	rs7693834	-2.42E+04	7.03E-25	0.709876	6.39E-02	5.36E-08	0.913248	0.167909342
ZNF608	chr5	124341151	124341351	PU1_27777	124341259	rs12517864	2.57E+05	8.49E-05	0.339725	8.55E-02	2.32E-12	1.43989	0.205295069
MED20	chr6	41888742	41888942	PU1_30991	41888827	rs2274578	-5.00E+01	6.01E-05	-0.293958	7.24E-02	2.55E-07	0.700327	0.135880521
ERV3-1	chr7	64429710	64429910	PU1_36187	64429823	rs13238842	-3.73E+04	5.20E-12	-0.493111	6.91E-02	6.48E-11	-0.962875	0.147403848
ZC2HC1A	chr8	79577619	79577819	PU1_40678	79577726	rs3808619	-5.56E+02	1.06E-49	1.10009	6.33E-02	1.49E-11	1.06068	0.157164065
PTHLH	chr12	28014702	28014902	PU1_54305	28014790	rs56794031	-1.11E+05	2.93E-09	0.417838	6.87E-02	1.17E-09	1.03363	0.169884734
ALDH3A2	chr17	19560217	19560417	PU1_67420	19560368	rs4646797	8909	0.000290887	0.296028	8.09E-02	5.32E-14	1.24285	0.165188771
PIP5K1C	chr19	3688427	3688627	PU1_71414	3688524	rs75760304	-1.19E+04	1.63E-30	1.49304	1.18E-01	7.21E-12	1.56239	0.227971983
LRRC25	chr19	18512749	18512949	PU1_71930	18512817	rs5827412	4.40E+03	9.31E-23	-0.681801	6.49E-02	6.91E-11	-0.80999	0.124182117
SLC27A5	chr19	59000198	59000398	PU1_72860	59000273	rs4801273	-2.32E+04	1.51E-28	0.763397	6.31E-02	2.93E-13	1.03746	0.142165031
